parent_org,source_type,fiscal_period,verbatim_quote,url,angle_line,retrieved_date
Humana Inc.,press,Q4 FY2025 (8-K Feb 2026),"the Star Ratings headwind for Bonus Year 2026, net of mitigation",https://www.sec.gov/Archives/edgar/data/0000049071/000004907126000005/hum-2025q4xex99x1briefxfeb.htm,Humana's own 8-K names Stars as the reason 2026 EPS guidance dropped from $17.14 to at least $9.00.,2026-07-01
Humana Inc.,earnings_call,Q4 2025 call (Feb 11 2026),"after accounting for the 26 stars headwind",https://www.fool.com/earnings/call-transcripts/2026/02/11/humana-hum-q4-2025-earnings-call-transcript/,Your CFO sized the net Stars hit at roughly $3.5B and told the Street 2026 is the trough; the call cited CTM complaint scores and customer service changes as the recovery proof points.,2026-07-01
Humana Inc.,earnings_call,Q1 2026 call (Apr 29 2026),"the decline in Star Ratings will negatively impact its 2026 quality bonus payments",https://www.fiercehealthcare.com/payers/humana-shares-fall-ma-star-ratings-headwinds-company-affirms-2026-outlook,Humana affirmed 2026 guidance but flagged Stars as the open risk; shares fell on it the same morning.,2026-07-01
"UnitedHealth Group, Inc.",earnings_call,Q4 2025 call (Jan 27 2026),"Our 2026 approach favored margin recovery",https://www.fiercehealthcare.com/payers/unitedhealth-shares-fall-premarket-company-misses-revenue-releases-2026-outlook,UnitedHealthcare is deliberately shedding ~1.3M MA members for margin; every sub-4.0 contract is under a margin microscope right now.,2026-07-01
"UnitedHealth Group, Inc.",earnings_call,Q1 2026 call (Apr 21 2026),"a deliberate trade-off on membership growth, particularly in Medicare",https://healthcareuncovered.substack.com/p/unitedhealth-q1-26-earnings-wall,965k MA members gone in one quarter by design; contracts that cannot earn bonus dollars are exactly the ones margin recovery pressures next.,2026-07-01
"UnitedHealth Group, Inc.",press,2025 Stars litigation recap (Sep 2025),"a disputed customer service phone call that allegedly cost the insurer $190 million",https://www.beckerspayer.com/payer/medicare-advantage/unitedhealthcare-expects-most-medicare-advantage-members-to-be-in-4-star-plans-in-2026/,UHC litigated one customer service call worth $190M in bonus payments under the prior rules; nobody disputes that CS measures are QBP-material money here.,2026-07-01
CVS Health Corporation,earnings_call,Q1 2026 call (May 6 2026),"make meaningful progress towards target margins in 2027",https://finance.yahoo.com/quote/CVS/earnings/CVS-Q1-2026-earnings_call-554336.html,Aetna's Medicare business ran an adjusted operating loss in 2026 despite industry-leading stars; the sub-4.0 contracts are the visible outliers on a margin path management reaffirmed for 2028.,2026-07-01
CVS Health Corporation,press,2026 Stars release (Oct 2025),"over 81 percent of its Medicare Advantage (MA) members",https://investors.cvshealth.com/news/news-details/2025/Aetna-achieves-over-81-of-Medicare-Advantage-members-in-4-Star-plans-and-over-63-in-4-5-Star-plans-for-2026/default.aspx,When the parent publicly leads on stars, a 3.0-star contract is an internal embarrassment with executive attention already on it.,2026-07-01
Centene Corporation,press,2026 Stars analysis (Oct 2025),"from 1% this year to more than 18% next year",https://www.healthcaredive.com/news/2026-medicare-advantage-star-ratings-winners-losers/802572/,Centene's 4-star membership jumped from 1% to 18%, proving the turnaround works; the remaining ~82% below 4.0 is the unfinished agenda every quality leader there owns.,2026-07-01
Centene Corporation,press,Stars turnaround program (ongoing),"quality is a priority",https://www.beckerspayer.com/payer/how-centene-plans-to-boost-its-medicare-advantage-star-ratings/,Stars improvement is a compensation metric for every Centene employee; a CS-side gap map lands on ready ears.,2026-07-01
"Elevance Health, Inc.",earnings_call,Q3 2025 call (Oct 21 2025),"several",https://www.healthcaredive.com/news/elevance-outperforms-q3-2025-warns-medicaid-challenges/803326/,Elevance told investors it is spending several hundred million dollars on Carelon AI and MA star ratings; the budget for exactly this problem is already committed.,2026-07-01
"Molina Healthcare, Inc.",earnings_call,Q4 2025 call (Feb 5 2026),"continued strong trend pressure in Medicare and Marketplace",https://seekingalpha.com/news/4548700-molina-outlines-42b-premium-revenue-target-for-2026-as-company-signals-medicaid-margin-trough,Molina missed Q4 by $3.25/share partly on Medicare; a capacity-recovery story lands in a margin crisis but qualify hard given the MAPD exit.,2026-07-01
"Molina Healthcare, Inc.",earnings_call,Q1 2026 call (Apr 2026),"$1.2 billion in revenue but roughly a $1.00 loss per share",https://www.theglobeandmail.com/investing/markets/stocks/MOH/pressreleases/1511793/molina-healthcare-earnings-call-balances-strength-and-risk/,Molina is exiting its MAPD line in 2027; deprioritize Molina MAPD contracts in the motion because the book may not exist to fix.,2026-07-01
"Clover Health Holdings, Inc.",earnings_call,Q3 2025 call (Nov 2025),"We missed our targets on both overall adjusted EBITDA and stars",https://www.nashvillepost.com/business/clover-shares-tumble-after-company-lowers-earnings-outlook/article_628dc029-5d7c-42d0-9d46-a9929357792d.html,Clover's CEO publicly called the stars miss unacceptable; the flagship PPO covering nearly the whole book is your H5141 target.,2026-07-01
